['218.95.66.214:8181', '218.95.66.214', '金蝶云星空 管理中心', '8181', 'http']
['58.218.167.50:8000', '58.218.167.50', '金蝶云星空 管理中心', '8000', 'http']
['60.205.184.31:8000', '60.205.184.31', '金蝶云星空 管理中心', '8000', 'http']
['218.17.186.138:8000', '218.17.186.138', '\t金蝶云星空 管理中心', '8000', 'http']
['221.2.81.240:8000', '221.2.81.240', '\t金蝶云星空 管理中心', '8000', 'http']
['202.105.191.50:8000', '202.105.191.50', '\t金蝶云星空 管理中心', '8000', 'http']
['58.42.32.165:8000', '58.42.32.165', '金蝶云星空 管理中心', '8000', 'http']
['61.172.220.252:8000', '61.172.220.252', '金蝶云星空 管理中心', '8000', 'http']
['https://39.107.240.177:8888', '39.107.240.177', '金蝶云星空 管理中心', '8888', 'https']
['39.101.135.77:8000', '39.101.135.77', '金蝶云星空 管理中心', '8000', 'http']
['39.108.230.122:8000', '39.108.230.122', '金蝶云星空 管理中心', '8000', 'http']
['61.142.80.35:8000', '61.142.80.35', '\t金蝶云星空 管理中心', '8000', 'http']
['47.99.241.172:8000', '47.99.241.172', '金蝶云星空 管理中心', '8000', 'http']
['58.49.140.238:8000', '58.49.140.238', '\t金蝶云星空 管理中心', '8000', 'http']
['58.221.252.202:8000', '58.221.252.202', '金蝶云星空 管理中心', '8000', 'http']
['60.247.153.211:8000', '60.247.153.211', '金蝶云星空 管理中心', '8000', 'http']
['60.172.152.12:2222', '60.172.152.12', '金蝶云星空 管理中心', '2222', 'http']
['211.143.216.44:8000', '211.143.216.44', '金蝶云星空 管理中心', '8000', 'http']
['59.172.153.174:8000', '59.172.153.174', '金蝶云星空 管理中心', '8000', 'http']
['61.133.67.133:8000', '61.133.67.133', '\t金蝶云星空 管理中心', '8000', 'http']
['39.100.90.243:8000', '39.100.90.243', '\t金蝶云星空 管理中心', '8000', 'http']
['58.56.160.70:8000', '58.56.160.70', '\t金蝶云星空 管理中心', '8000', 'http']
['58.59.64.42:8000', '58.59.64.42', '\t金蝶云星空 管理中心', '8000', 'http']
['47.107.126.29:8000', '47.107.126.29', '金蝶云星空 管理中心', '8000', 'http']
['61.142.65.34:8000', '61.142.65.34', '金蝶云星空 管理中心', '8000', 'http']
['60.30.17.19:8000', '60.30.17.19', '金蝶云星空 管理中心', '8000', 'http']
['39.98.66.155:8000', '39.98.66.155', '金蝶云星空 管理中心', '8000', 'http']
['58.57.243.66:8888', '58.57.243.66', '金蝶云星空 管理中心', '8888', 'http']
['58.213.149.160:8000', '58.213.149.160', '金蝶云星空 管理中心', '8000', 'http']
['58.221.193.150:8000', '58.221.193.150', '金蝶云星空 管理中心', '8000', 'http']
['61.144.20.78:8090', '61.144.20.78', '\t金蝶云星空 管理中心', '8090', 'http']
['47.92.115.159:8000', '47.92.115.159', '金蝶云星空 管理中心', '8000', 'http']
['59.46.223.138:8000', '59.46.223.138', '金蝶云星空 管理中心', '8000', 'http']
['58.211.55.242:8000', '58.211.55.242', '金蝶云星空 管理中心', '8000', 'http']
['58.221.138.194:8000', '58.221.138.194', '金蝶云星空 管理中心', '8000', 'http']
['112.80.133.251:8000', '112.80.133.251', '金蝶云星空 管理中心', '8000', 'http']
['58.208.85.67:8000', '58.208.85.67', '金蝶云星空 管理中心', '8000', 'http']
['58.87.105.239:8000', '58.87.105.239', '金蝶云星空 管理中心', '8000', 'http']
['60.13.208.26:8000', '60.13.208.26', '金蝶云星空 管理中心', '8000', 'http']
['42.180.4.30:8000', '42.180.4.30', '金蝶云星空 管理中心', '8000', 'http']
['220.248.238.130:8000', '220.248.238.130', '金蝶云星空 管理中心', '8000', 'http']
['39.104.119.129:8000', '39.104.119.129', '金蝶云星空 管理中心', '8000', 'http']
['36.137.213.169:8000', '36.137.213.169', '\t金蝶云星空 管理中心', '8000', 'http']
